,Has [XX] committed to 100% clean energy?,What is [XX]'s current renewable or clean energy target?,Does [XX] have a goal for reducing carbon pollution across the entire economy?,Does [XX] have goals or incentives for electric vehicles?,How does [XX] compare when it comes to policies to save energy in buildings and vehicles?
New Mexico,Yes&comma; [XX] has committed in law to 100% clean energy by 2045.,[XX] has a target of 100% renewable or clean energy by 2045.,[XX] has a nonbinding goal of a 45% reduction in carbon pollution below 2005 levels by 2030.,No,[XX] is ranked 36th by the American Council for an Energy-Efficient Economy.
New York,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 50% renewable or clean energy by 2030.,[XX] has a nonbinding goal of 80% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 6th by the American Council for an Energy-Efficient Economy.
North Carolina,No,[XX] has a target of 12.5% renewable or clean energy by 2021.,[XX] has a nonbinding goal of a 40% reduction in carbon pollution below 2005 levels by 2025.,No,[XX] is ranked 26th (tied with Idaho and Virginia) by the American Council for an Energy-Efficient Economy.
North Dakota,No,[XX] has a target of 10% renewable or clean energy by 2015.*,No,No,[XX] is ranked 49th (tied with West Virginia) by the American Council for an Energy-Efficient Economy.
Northern Mariana Islands,No,[XX] has a target of 20% renewable or clean energy by 2016.*,No,No,[XX] is not ranked by the American Council for an Energy-Efficient Economy.
Ohio,No,[XX] has a target of 12.5% renewable or clean energy by 2026.,No,No,[XX] is ranked 29th (tied with Kentucky&comma; Nevada&comma; and Wisconsin) by the American Council for an Energy-Efficient Economy.
Oklahoma,No,[XX] has a target of 15% renewable or clean energy by 2015. *,No,No,[XX] is ranked 39th by the American Council for an Energy-Efficient Economy.
Oregon,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 50% renewable or clean energy by 2040.,[XX] has a nonbinding goal of a 75% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 7th by the American Council for an Energy-Efficient Economy.
Pennsylvania,No,[XX] has a target of 18% renewable or clean energy by 2021.,[XX] has a nonbinding goal of a 80% reduction in carbon pollution below 2005 levels by 2025.,[XX] has low-emissions vehicle program&comma; which encourages electric vehicles but isn't as strong as a zero-emissions vehicle mandate.,[XX] is ranked 18th (tied with New Jersey) by the American Council for an Energy-Efficient Economy.
Puerto Rico,Yes&comma; [XX] has committed in law to 100% clean energy by 2050.,[XX] has a target of 100% renewable or clean energy by 2050.,No,No,[XX] is not ranked by the American Council for an Energy-Efficient Economy.
Rhode Island,No,[XX] has a target of 38.5% renewable or clean energy by 2035.,[XX] has a nonbinding goal of a 80% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 3rd by the American Council for an Energy-Efficient Economy.
South Carolina,No,[XX] has a target of 2% renewable or clean energy by 2021.,No,No,[XX] is ranked 41st (tied with Alaska) by the American Council for an Energy-Efficient Economy.
South Dakota,No,[XX] has a target of 10% renewable or clean energy by 2015.*,No,No,[XX] is ranked 46th (tied with Kansas and Louisiana) by the American Council for an Energy-Efficient Economy.
Tennessee,No,[XX] does not have a mandatory renewable energy target,No,No,[XX] is ranked 35th by the American Council for an Energy-Efficient Economy.
Texas,No,[XX] has a target of 10&comma;000 MW of renewable energy capacity by 2025.,No,No,[XX] is ranked 25th by the American Council for an Energy-Efficient Economy.
US Virgin Islands,No,[XX] has a target of 51% renewable or clean energy by 2025.,No,No,[XX] is not ranked by the American Council for an Energy-Efficient Economy.
Utah,No,[XX] has a target of 20% renewable or clean energy by 2025.,No,No,[XX] is ranked 20th by the American Council for an Energy-Efficient Economy.
Vermont,No,[XX] has a target of 75% renewable or clean energy by 2032.,[XX] has a nonbinding goal of a 90% reduction in carbon pollution below 1990 levels by 2050.,[XX] has a zero-emissions vehicle mandate of 22% of new vehicles being electric by 2025.,[XX] is ranked 4th by the American Council for an Energy-Efficient Economy.
Virginia,No,[XX] has a target of 15% renewable or clean energy by 2025.,No,No,[XX] is ranked 26th (tied with Idaho and North Carolina) by the American Council for an Energy-Efficient Economy.
Washington,Yes&comma; [XX] has committed in law to 100% clean energy by 2045.,[XX] has target of 100% clean energy by 2045.,[XX] has a nonbinding goal of a 50% reduction in carbon pollution below 1990 levels by 2050.,[XX] has low-emissions vehicle program&comma; which encourages electric vehicles but isn't as strong as a zero-emissions vehicle mandate.,[XX] is ranked 9th by the American Council for an Energy-Efficient Economy.
West Virginia,No,[XX] has a target of 25% renewable or clean energy by 2025.,No,No,[XX] is ranked 49th (tied with North Dakota) by the American Council for an Energy-Efficient Economy.
Wisconsin,Your governor supports 100% clean energy&comma; but [XX] hasn't made it mandatory.,[XX] has a target of 10% renewable or clean energy by 2015.,No,No,[XX] is ranked 29th (tied with Kentucky&comma; Nevada&comma; and Ohio) by the American Council for an Energy-Efficient Economy.
Wyoming,No,[XX] does not have a mandatory renewable energy target.,No,No,[XX]is ranked 51st by the American Council for an Energy-Efficient Economy.
